full_name,name,prefix,diameter,BV,UB,IR,spec_B,spec_T
"     1 Ceres",Ceres,,952.4,.713,.426,,C,G
"     2 Pallas",Pallas,,545,.635,.284,,B,B
"     3 Juno",Juno,,246.596,.824,.433,,Sk,S
"     4 Vesta",Vesta,,530,.782,.492,,V,V
"     5 Astraea",Astraea,,106.699,.826,.411,,S,S
"     6 Hebe",Hebe,,185.18,.822,.399,,S,S
"     7 Iris",Iris,,199.83,.855,.484,,S,S
"     8 Flora",Flora,,147.491,.885,.489,,,S
"     9 Metis",Metis,,190,.858,.496,,,S
"    10 Hygiea",Hygiea,,407.12,.696,.351,,C,C
"    11 Parthenope",Parthenope,,142.887,.837,.417,,Sk,S
"    12 Victoria",Victoria,,115.087,.874,.515,,L,S
"    13 Egeria",Egeria,,222.792,.745,.452,,Ch,G
"    14 Irene",Irene,,152,.833,.388,,S,S
"    15 Eunomia",Eunomia,,231.689,.839,.451,,S,S
"    16 Psyche",Psyche,,253.16,.729,.299,,X,M
"    17 Thetis",Thetis,,84.899,.829,.438,,Sl,S
"    18 Melpomene",Melpomene,,139.594,.854,.425,,S,S
"    19 Fortuna",Fortuna,,200,.719,.324,,Ch,G
"    20 Massalia",Massalia,,135.680,.854,.463,,S,S
"    21 Lutetia",Lutetia,,95.76,.686,.189,,Xk,M
"    22 Kalliope",Kalliope,,167.536,.715,.234,,X,M
"    23 Thalia",Thalia,,107.53,.859,.442,,S,S
"    24 Themis",Themis,,198,.684,.336,,B,C
"    25 Phocaea",Phocaea,,61.054,.932,.513,,S,S
"    26 Proserpina",Proserpina,,94.80,.891,.525,,S,S
"    27 Euterpe",Euterpe,,96,.878,.502,,S,S
"    28 Bellona",Bellona,,120.90,.845,.469,,S,S
"    29 Amphitrite",Amphitrite,,189.559,.838,.449,,S,S
"    30 Urania",Urania,,92.787,.873,.459,,Sl,S
"    31 Euphrosyne",Euphrosyne,,267.080,.687,.317,,Cb,C
"    32 Pomona",Pomona,,80.76,.857,.429,,S,S
"    33 Polyhymnia",Polyhymnia,,52.929,.848,.438,,Sq,S
